"value","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","stimulus","key_press","trialType","tgtPosition","correct","color","colorPosition","rewardType","responses","question_order"
"","call-function","0","12","0.0-0.0","h9obrp2erd","green","","","","","","","","","","","",""
"","instructions","1","453980","0.0-1.0-0.0","h9obrp2erd","green","[{""page_index"":0,""viewing_time"":452771.5249999892},{""page_index"":1,""viewing_time"":643.6850000172853},{""page_index"":2,""viewing_time"":335.09000000776723},{""page_index"":3,""viewing_time"":216.93499997491017}]","453967.39000000525","","","","","","","","","",""
"","html-keyboard-response","2","454175","0.0-1.0-1.0-0.0","h9obrp2erd","green","","194.79500001762062","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","39","","","","","","","",""
"","html-keyboard-response","3","454372","0.0-1.0-1.0-1.0","h9obrp2erd","green","","196.30499999038875","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","39","","","","","","","",""
"","html-keyboard-response","4","454599","0.0-1.0-1.0-2.0","h9obrp2erd","green","","226.64999996777624","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","39","","","","","","","",""
"","html-keyboard-response","5","455610","0.0-1.0-1.0-3.0","h9obrp2erd","green","","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","",""
"","html-keyboard-response","6","456603","0.0-1.0-2.0-0.0","h9obrp2erd","green","","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
"","html-keyboard-response","7","457115","0.0-1.0-2.0-1.0-0.0","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">M</p>","null","","","","","","","",""
"","html-keyboard-response","8","457619","0.0-1.0-2.0-1.0-1.0","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">a</p>","null","","","","","","","",""
"","html-keyboard-response","9","458126","0.0-1.0-2.0-1.0-2.0","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">P</p>","null","","","","","","","",""
"","html-keyboard-response","10","458636","0.0-1.0-2.0-1.0-3.0","h9obrp2erd","green","","null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","",""
"","html-keyboard-response","11","460838","0.0-1.0-2.0-1.0-4.0","h9obrp2erd","green","","2201.2099999701604","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">M</p>","77","RSVPtraining","1st","false","","","","",""
"","html-keyboard-response","12","463731","0.0-1.0-2.0-2.0","h9obrp2erd","green","","null","<p style=""font-size:300%;"">Miss.</p> <p style=""font-size:300%;"">Wrong response.</p>","null","","","","","","","",""
"","html-keyboard-response","13","465720","0.0-1.0-2.0-0.1","h9obrp2erd","green","","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
"","html-keyboard-response","14","466221","0.0-1.0-2.0-1.1-0.1","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">s</p>","null","","","","","","","",""
"","html-keyboard-response","15","466728","0.0-1.0-2.0-1.1-1.1","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">S</p>","null","","","","","","","",""
"","html-keyboard-response","16","467237","0.0-1.0-2.0-1.1-2.1","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">e</p>","null","","","","","","","",""
"","html-keyboard-response","17","467746","0.0-1.0-2.0-1.1-3.1","h9obrp2erd","green","","null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","",""
"","html-keyboard-response","18","467820","0.0-1.0-2.0-1.1-4.1","h9obrp2erd","green","","74.02999995974824","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">S</p>","77","RSVPtraining","2nd","false","","","","",""
"","html-keyboard-response","19","470326","0.0-1.0-2.0-2.1","h9obrp2erd","green","","null","<p style=""font-size:300%;"">Miss.</p> <p style=""font-size:300%;"">Wrong response.</p>","null","","","","","","","",""
"","call-function","20","471328","0.0-1.0-3.0","h9obrp2erd","green","","","","","","","","","","","",""
"","html-keyboard-response","21","473032","0.0-1.0-4.0","h9obrp2erd","green","","1704.0200000046752","<p>You have now finished the training exercise. If you would like to repeat the instructions and training exercise, press R. If you are ready to continue to the task, press C. </p>","67","","","","","","","",""
"","html-keyboard-response","22","475044","0.0-2.0-0.0","h9obrp2erd","green","","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","",""
"","html-keyboard-response","23","476060","0.0-2.0-1.0","h9obrp2erd","green","","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","",""
"","html-keyboard-response","24","477067","0.0-2.0-2.0","h9obrp2erd","green","","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","",""
"","html-keyboard-response","25","477153","0.0-2.0-3.0","h9obrp2erd","green","","86.53999998932704","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","77","","","","","","","",""
"","html-keyboard-response","26","478151","0.0-3.0-0.0-0.0","h9obrp2erd","green","","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
"","html-keyboard-response","27","478658","0.0-3.0-0.0-1.0-0.0","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">d</p>","null","","","","","","","",""
"","html-keyboard-response","28","479160","0.0-3.0-0.0-1.0-1.0","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">Z</p>","null","","","","","","","",""
"","html-keyboard-response","29","479669","0.0-3.0-0.0-1.0-2.0","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">q</p>","null","","","","","","","",""
"","html-keyboard-response","30","480177","0.0-3.0-0.0-1.0-3.0","h9obrp2erd","green","","null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","",""
"","html-keyboard-response","31","480384","0.0-3.0-0.0-1.0-4.0","h9obrp2erd","green","","206.8250000011176","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">q</p>","77","RSVPtest","3rd","false","none","none","none","",""
"","html-keyboard-response","32","482899","0.0-3.0-0.0-2.0","h9obrp2erd","green","","null","<p style=""font-size:300%;"">Miss.</p>","null","","","","","","","",""
"","call-function","33","483908","0.0-3.0-0.0-4.0-0.0","h9obrp2erd","green","","","","","","","","","","","",""
"","html-keyboard-response","34","483934","0.0-3.0-0.0-4.0-1.0","h9obrp2erd","green","","26.04500000597909","<p>You have finished block 1 of 4. You may now take up to a 30 second break. Press any key when you are ready to continue, or it will begin automatically after 30 seconds. Remember, press <b>Z</b> if the test character is the same as a previous character in the set or press <b>M</b> if the character is different from the set.</p><p>You responded correctly on 0% of the trials.</p>","77","","","","","","","",""
"","html-keyboard-response","35","484150","0.0-3.0-0.0-4.0-2.0-0.0","h9obrp2erd","green","","215.59999999590218","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","77","","","","","","","",""
"","html-keyboard-response","36","484507","0.0-3.0-0.0-4.0-2.0-1.0","h9obrp2erd","green","","356.76500003319234","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","77","","","","","","","",""
"","html-keyboard-response","37","484830","0.0-3.0-0.0-4.0-2.0-2.0","h9obrp2erd","green","","322.67500000307336","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","77","","","","","","","",""
"","html-keyboard-response","38","485045","0.0-3.0-0.0-4.0-2.0-3.0","h9obrp2erd","green","","214.6799999754876","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","77","","","","","","","",""
"","html-keyboard-response","39","486041","0.0-3.0-0.0-0.1","h9obrp2erd","green","","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
"","html-keyboard-response","40","486545","0.0-3.0-0.0-1.1-0.1","h9obrp2erd","green","","null","<p style=""color: green; text-align:center; font-family: BACS1; font-size:1000%;"">m</p>","null","","","","","","","",""
"","html-keyboard-response","41","487046","0.0-3.0-0.0-1.1-1.1","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">l</p>","null","","","","","","","",""
"","html-keyboard-response","42","487556","0.0-3.0-0.0-1.1-2.1","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">R</p>","null","","","","","","","",""
"","html-keyboard-response","43","488068","0.0-3.0-0.0-1.1-3.1","h9obrp2erd","green","","null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","",""
"","html-keyboard-response","44","488117","0.0-3.0-0.0-1.1-4.1","h9obrp2erd","green","","47.6749999797903","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">e</p>","77","RSVPtest","new","true","green","1st","high","",""
"","html-keyboard-response","45","490630","0.0-3.0-0.0-2.1","h9obrp2erd","green","","null","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","",""
"","call-function","46","491637","0.0-3.0-0.0-4.1-0.1","h9obrp2erd","green","","","","","","","","","","","",""
"","html-keyboard-response","47","491686","0.0-3.0-0.0-4.1-1.1","h9obrp2erd","green","","48.91500005032867","<p>You have finished block 2 of 4. You may now take up to a 30 second break. Press any key when you are ready to continue, or it will begin automatically after 30 seconds. Remember, press <b>Z</b> if the test character is the same as a previous character in the set or press <b>M</b> if the character is different from the set.</p><p>You responded correctly on 50% of the trials.</p>","77","","","","","","","",""
"","html-keyboard-response","48","491896","0.0-3.0-0.0-4.1-2.1-0.1","h9obrp2erd","green","","209.92500003194436","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","77","","","","","","","",""
"","html-keyboard-response","49","492137","0.0-3.0-0.0-4.1-2.1-1.1","h9obrp2erd","green","","240.4250000254251","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","77","","","","","","","",""
"","html-keyboard-response","50","492382","0.0-3.0-0.0-4.1-2.1-2.1","h9obrp2erd","green","","244.75999997230247","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","77","","","","","","","",""
"","html-keyboard-response","51","492591","0.0-3.0-0.0-4.1-2.1-3.1","h9obrp2erd","green","","208.69999995920807","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","77","","","","","","","",""
"","html-keyboard-response","52","493581","0.0-3.0-0.0-0.2","h9obrp2erd","green","","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
"","html-keyboard-response","53","494094","0.0-3.0-0.0-1.2-0.2","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">x</p>","null","","","","","","","",""
"","html-keyboard-response","54","494605","0.0-3.0-0.0-1.2-1.2","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">m</p>","null","","","","","","","",""
"","html-keyboard-response","55","495113","0.0-3.0-0.0-1.2-2.2","h9obrp2erd","green","","null","<p style=""color: green; text-align:center; font-family: BACS2; font-size:1000%;"">D</p>","null","","","","","","","",""
"","html-keyboard-response","56","495626","0.0-3.0-0.0-1.2-3.2","h9obrp2erd","green","","null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","",""
"","html-keyboard-response","57","495822","0.0-3.0-0.0-1.2-4.2","h9obrp2erd","green","","194.9599999934435","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">x</p>","77","RSVPtest","1st","false","green","3rd","high","",""
"","html-keyboard-response","58","498336","0.0-3.0-0.0-2.2","h9obrp2erd","green","","null","<p style=""font-size:300%;"">Miss.</p>","null","","","","","","","",""
"","call-function","59","499347","0.0-3.0-0.0-4.2-0.2","h9obrp2erd","green","","","","","","","","","","","",""
"","html-keyboard-response","60","501293","0.0-3.0-0.0-4.2-1.2","h9obrp2erd","green","","1945.030000002589","<p>You have finished block 3 of 4. You may now take up to a 30 second break. Press any key when you are ready to continue, or it will begin automatically after 30 seconds. Remember, press <b>Z</b> if the test character is the same as a previous character in the set or press <b>M</b> if the character is different from the set.</p><p>You responded correctly on 33% of the trials.</p>","77","","","","","","","",""
"","html-keyboard-response","61","503303","0.0-3.0-0.0-4.2-2.2-0.2","h9obrp2erd","green","","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","",""
"","html-keyboard-response","62","504304","0.0-3.0-0.0-4.2-2.2-1.2","h9obrp2erd","green","","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","",""
"","html-keyboard-response","63","505306","0.0-3.0-0.0-4.2-2.2-2.2","h9obrp2erd","green","","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","",""
"","html-keyboard-response","64","506315","0.0-3.0-0.0-4.2-2.2-3.2","h9obrp2erd","green","","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","",""
"","html-keyboard-response","65","507306","0.0-3.0-0.0-0.3","h9obrp2erd","green","","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
"","html-keyboard-response","66","507808","0.0-3.0-0.0-1.3-0.3","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">d</p>","null","","","","","","","",""
"","html-keyboard-response","67","508311","0.0-3.0-0.0-1.3-1.3","h9obrp2erd","green","","null","<p style=""color: green; text-align:center; font-family: BACS2; font-size:1000%;"">Y</p>","null","","","","","","","",""
"","html-keyboard-response","68","508816","0.0-3.0-0.0-1.3-2.3","h9obrp2erd","green","","null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">s</p>","null","","","","","","","",""
"","html-keyboard-response","69","509330","0.0-3.0-0.0-1.3-3.3","h9obrp2erd","green","","null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","",""
"","html-keyboard-response","70","509681","0.0-3.0-0.0-1.3-4.3","h9obrp2erd","green","","350.37499997997656","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">Y</p>","77","RSVPtest","2nd","false","green","2nd","high","",""
"","html-keyboard-response","71","512202","0.0-3.0-0.0-2.3","h9obrp2erd","green","","null","<p style=""font-size:300%;"">Miss.</p>","null","","","","","","","",""
"","call-function","72","513215","0.0-4.0-0.0","h9obrp2erd","green","","","","","","","","","","","",""
"","survey-multi-choice","73","520193","0.0-4.0-1.0","h9obrp2erd","green","","6976.189999957569","","","","","","","","","{""Q0"":""""}","[0]"
"","survey-multi-select","74","524442","0.0-4.0-2.0","h9obrp2erd","green","","4242.904999991879","","","","","","","","","{""Q0"":[]}","[0]"
