"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","trialType","tgtPosition","color","colorPosition","rewardType","correct","responses","question_order"
"null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","html-keyboard-response","0","452","0.0-0.0-1.0-0.0","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: green; text-align:center; font-family: BACS1; font-size:1000%;"">j</p>","null","html-keyboard-response","1","957","0.0-0.0-1.0-1.0-0.0","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">T</p>","null","html-keyboard-response","2","1466","0.0-0.0-1.0-1.0-1.0","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">N</p>","null","html-keyboard-response","3","1976","0.0-0.0-1.0-1.0-2.0","n3q0l3r2u3","red","","","","","","","",""
"null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","html-keyboard-response","4","2477","0.0-0.0-1.0-1.0-3.0","n3q0l3r2u3","red","","","","","","","",""
"1817.6049999892712","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">Z</p>","90","html-keyboard-response","5","4295","0.0-0.0-1.0-1.0-4.0","n3q0l3r2u3","red","RSVPtest","new","green","1st","low","false","",""
"null","<p style=""font-size:300%;"">Miss.</p>","null","html-keyboard-response","6","6814","0.0-0.0-1.0-2.0","n3q0l3r2u3","red","","","","","","","",""
"649.9949999852106","<p>You have finished block 1 of 4. You may now take up to a 30 second break. Press any key when you are ready to continue, or it will begin automatically after 30 seconds. Remember, press <b>Z</b> if the test character is the same as a previous character in the set or press <b>M</b> if the character is different from the set.</p><p>You responded correctly on 0% of the trials.</p>","90","html-keyboard-response","7","8466","0.0-0.0-1.0-4.0-0.0","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","html-keyboard-response","8","10468","0.0-0.0-1.0-4.0-1.0-0.0","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","html-keyboard-response","9","11479","0.0-0.0-1.0-4.0-1.0-1.0","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","html-keyboard-response","10","12480","0.0-0.0-1.0-4.0-1.0-2.0","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","html-keyboard-response","11","13489","0.0-0.0-1.0-4.0-1.0-3.0","n3q0l3r2u3","red","","","","","","","",""
"null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","html-keyboard-response","12","13936","0.0-0.0-1.0-0.1","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">Q</p>","null","html-keyboard-response","13","14443","0.0-0.0-1.0-1.1-0.1","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">r</p>","null","html-keyboard-response","14","14951","0.0-0.0-1.0-1.1-1.1","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: green; text-align:center; font-family: BACS2; font-size:1000%;"">I</p>","null","html-keyboard-response","15","15467","0.0-0.0-1.0-1.1-2.1","n3q0l3r2u3","red","","","","","","","",""
"null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","html-keyboard-response","16","15973","0.0-0.0-1.0-1.1-3.1","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">Q</p>","null","html-keyboard-response","17","18480","0.0-0.0-1.0-1.1-4.1","n3q0l3r2u3","red","RSVPtest","1st","green","3rd","low","null","",""
"null","<p style=""font-size:300%;"">Miss.</p>","null","html-keyboard-response","18","20998","0.0-0.0-1.0-2.1","n3q0l3r2u3","red","","","","","","","",""
"null","<p>You have finished block 2 of 4. You may now take up to a 30 second break. Press any key when you are ready to continue, or it will begin automatically after 30 seconds. Remember, press <b>Z</b> if the test character is the same as a previous character in the set or press <b>M</b> if the character is different from the set.</p><p>You responded correctly on 0% of the trials.</p>","null","html-keyboard-response","19","52010","0.0-0.0-1.0-4.1-0.1","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","html-keyboard-response","20","54011","0.0-0.0-1.0-4.1-1.1-0.1","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","html-keyboard-response","21","55013","0.0-0.0-1.0-4.1-1.1-1.1","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","html-keyboard-response","22","56014","0.0-0.0-1.0-4.1-1.1-2.1","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","html-keyboard-response","23","57015","0.0-0.0-1.0-4.1-1.1-3.1","n3q0l3r2u3","red","","","","","","","",""
"null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","html-keyboard-response","24","57457","0.0-0.0-1.0-0.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">P</p>","null","html-keyboard-response","25","57959","0.0-0.0-1.0-1.2-0.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: green; text-align:center; font-family: BACS2; font-size:1000%;"">X</p>","null","html-keyboard-response","26","58461","0.0-0.0-1.0-1.2-1.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">E</p>","null","html-keyboard-response","27","58962","0.0-0.0-1.0-1.2-2.2","n3q0l3r2u3","red","","","","","","","",""
"null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","html-keyboard-response","28","59463","0.0-0.0-1.0-1.2-3.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">a</p>","null","html-keyboard-response","29","61965","0.0-0.0-1.0-1.2-4.2","n3q0l3r2u3","red","RSVPtest","new","green","2nd","low","null","",""
"null","<p style=""font-size:300%;"">Miss.</p>","null","html-keyboard-response","30","64468","0.0-0.0-1.0-2.2","n3q0l3r2u3","red","","","","","","","",""
"4890.409999992698","<p>You have finished block 3 of 4. You may now take up to a 30 second break. Press any key when you are ready to continue, or it will begin automatically after 30 seconds. Remember, press <b>Z</b> if the test character is the same as a previous character in the set or press <b>M</b> if the character is different from the set.</p><p>You responded correctly on 0% of the trials.</p>","88","html-keyboard-response","31","70361","0.0-0.0-1.0-4.2-0.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","html-keyboard-response","32","72361","0.0-0.0-1.0-4.2-1.2-0.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","html-keyboard-response","33","73362","0.0-0.0-1.0-4.2-1.2-1.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","html-keyboard-response","34","74364","0.0-0.0-1.0-4.2-1.2-2.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","html-keyboard-response","35","75365","0.0-0.0-1.0-4.2-1.2-3.2","n3q0l3r2u3","red","","","","","","","",""
"null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","html-keyboard-response","36","75808","0.0-0.0-1.0-0.3","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">A</p>","null","html-keyboard-response","37","76310","0.0-0.0-1.0-1.3-0.3","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">z</p>","null","html-keyboard-response","38","76811","0.0-0.0-1.0-1.3-1.3","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">J</p>","null","html-keyboard-response","39","77312","0.0-0.0-1.0-1.3-2.3","n3q0l3r2u3","red","","","","","","","",""
"null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","html-keyboard-response","40","77813","0.0-0.0-1.0-1.3-3.3","n3q0l3r2u3","red","","","","","","","",""
"830.2300000214018","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">A</p>","77","html-keyboard-response","41","78644","0.0-0.0-1.0-1.3-4.3","n3q0l3r2u3","red","RSVPtest","1st","none","none","none","false","",""
"null","<p style=""font-size:300%;"">Miss.</p>","null","html-keyboard-response","42","81146","0.0-0.0-1.0-2.3","n3q0l3r2u3","red","","","","","","","",""
"9463.020000024699","","","survey-multi-choice","43","91611","0.0-1.0-0.0","n3q0l3r2u3","red","","","","","","","{""Q0"":""""}","[0]"
"4507.200000050943","","","survey-multi-select","44","96125","0.0-1.0-1.0","n3q0l3r2u3","red","","","","","","","{""Q0"":[]}","[0]"
